帐号ID,帐号名,帐号密码,角色名称1,角色ID1,出生坐标x,出生坐标y,出生坐标z
int,string,string,string,int,float,float,float
1,ST2886,g,名字简单点好1,1000223399,20,10,20
2,ST2887,g,名字简单点好2,1000223682,21,10,21
3,ST2888,g,听灬遗忘,1000224754,22,10,22
4,ST2889,g,Chic丶海带,1000224794,23,10,23
5,ST2890,g,美洲豹丨奈何,1000225327,24,10,24
6,ST2891,g,丿嘿丶妖哥灬,1000225349,25,10,25
7,ST2892,g,神话丿灬老烈,1000225506,26,10,26
8,ST2893,g,丨花恋丶小麦,1000225632,27,10,27
9,ST2845,g,爵战丶疯狂菜鸟,1000225844,28,10,28
10,ST2846,g,神话丿灬小泉泉,1000226071,29,10,29
11,ST2847,g,蓝铯丿灬火凤凰,1000226599,30,10,30
12,ST2848,g,龙雨阁丶那夜,1000227142,31,10,31
13,ST2849,g,智丶大智如愚,1000227644,32,10,32
14,ST2850,g,丨棉花灬糖,1000228099,33,10,33
15,ST2818,g,寒月丶弄情,1000228409,34,10,34
16,ST2819,g,灬丨风灵丶酷心,1000228762,35,10,35
17,ST2820,g,食人部落v琥珀,1000229254,36,10,36
18,ST2821,g,喂丶丨优乐美丨,1000229721,37,10,37
19,ST2822,g,冰の心语,1000229772,38,10,38
20,ST2782,g,豆芽菜De菜豆芽,1000230320,39,10,39
21,ST2783,g,丿丶淡の定灬,1000230346,40,10,40
22,ST2784,g,灬丿君绮罗,1000230416,41,10,41
23,ST2785,g,灬易碎品灬,1000230423,42,10,42
24,ST2787,g,丿灬静殇丨俊翎,1000230499,43,10,43
25,ST2786,g,维也纳de风情,1000230760,44,10,44
26,ST2788,g,Mais_假斯文,1000231239,45,10,45
27,ST2789,g,丿灬静殇丨羽翎,1000231416,46,10,46
28,ST2790,g,龙王阁火舞,1000231456,47,10,47
29,ST2708,g,阝灬帅气的戴戴,1000231898,48,10,48
30,ST2709,g,Kiss泪,1000231942,49,10,49
31,ST2710,g,劈头仕,1000231701,50,10,50
32,ST2711,g,____炮の灰,1000231823,51,10,51
33,ST2712,g,龙雨阁丶水果,1000232782,52,10,52
34,ST2713,g,绝世柔情v晨谨,1000232844,53,10,53
35,ST2714,g,丨花开丶灿烂,1000232998,54,10,54
36,ST2689,g,Mua丶凝望,1000233571,55,10,55
37,ST2690,g,丨丶孽缘,1000234362,56,10,56
38,ST2691,g,专挖倪墙角,1000234367,57,10,57
39,ST2742,g,遗忘丶那以往,1000235807,58,10,58
40,ST2665,g,喂丶丨冰红茶丨,1000236639,59,10,59
41,ST2666,g,战~龙,1000237128,60,10,60
42,ST2667,g,锁心天下,1000237199,61,10,61
43,ST2668,g,丨丶苹果丶,1000237276,62,10,62
44,ST2669,g,丨丶莫然,1000237718,63,10,63
45,ST2823,g,恋雨知风,1000239208,64,10,64
46,ST2824,g,丨丶抹茶,1000239410,65,10,65
47,ST2715,g,爱之恨の守狐心,1000239664,66,10,66
48,ST2716,g,lovely灬兜兜,1000240504,67,10,67
49,ST2717,g,醉丨倩,1000240914,68,10,68
50,ST2851,g,孤独の雪狼,1000241991,69,10,69
51,ST2852,g,神话丿灬生活,1000242085,20,10,20
52,ST2853,g,虫@笑林,1000242504,20,10,20
53,ST2743,g,进水的空脑袋,1000242917,20,10,20
54,ST2744,g,丨丶ove灬呆毛,1000243976,20,10,20
55,ST2791,g,丨丶ove灬夏末,1000244198,20,10,20
56,ST2792,g,哟丶芒果,1000245426,20,10,20
57,ST2793,g,丨丶布丁,1000245465,20,10,20
58,ST2670,g,戒烟戒酒好男人,1000246809,20,10,20
59,ST2671,g,丨守护my言言灬,1000246894,20,10,20
60,ST2692,g,凌雪PK俊哥,1000248053,20,10,20
61,ST2693,g,也许丶卜舍,1000248082,20,10,20
62,ST2694,g,o南风VS小帅0,1000248776,20,10,20
63,ST2894,g,持戬天涯,1000248994,20,10,20
64,ST2895,g,爱在不眠夜,1000249470,20,10,20
65,ST2896,g,lowkey丿丶茜茜,1000249842,20,10,20
66,ST2897,g,丿放肆の小野猫,1000250034,20,10,20
67,ST2854,g,心已_关机!,1000250367,20,10,20
68,ST2672,g,Me丨丶凡夫子,1000253604,20,10,20
69,ST2673,g,Cassie海熊,1000254376,20,10,20
70,ST2745,g,淡墨丶觞,1000255665,20,10,20
71,ST2718,g,绝世战神V霸刀,1000257701,20,10,20
72,ST2696,g,丿泪倾城灬若颜,1000260320,20,10,20
73,ST2695,g,拽拽的枫1,1000260970,20,10,20
74,ST2898,g,神话丿灬逸尘,1000262847,20,10,20
75,ST2855,g,丨狼迹丶天涯,1000263205,20,10,20
76,ST2674,g,你算那棵葱,1000265641,20,10,20
77,ST2746,g,至尊蓝颜,1000269780,20,10,20
78,ST2697,g,神话丿灬小站,1000271469,20,10,20
79,ST2698,g,穆如灬寒江,1000272660,20,10,20
80,ST2899,g,蹲街看美人,1000274108,20,10,20
81,ST2719,g,丿灬静殇丨止一,1000276714,20,10,20
82,ST2675,g,冰芯雨蝶,1000280689,20,10,20
83,ST2794,g,娱乐狂,1000286142,20,10,20
84,ST2825,g,瞪谁谁怀孕,1000289045,20,10,20
85,ST2900,g,醉丨影,1000295985,20,10,20
86,ST2901,g,丨丶ove灬极星,1000297845,20,10,20
87,ST2856,g,丨丶挚灬爱,1000298496,20,10,20
88,ST2699,g,_很着迷丶Ni,1000301498,20,10,20
89,ST2720,g,朕九五至尊,1000305768,20,10,20
90,ST2700,g,KS浪漫飞儿,1000304661,20,10,20
91,ST2828,g,shikiss88,1000315639,20,10,20
92,ST2826,g,魔鬼_Angel,1000316699,20,10,20
93,ST2827,g,柠檬_Angel,1000316933,20,10,20
94,ST2795,g,炽天使の伍爷,1000320536,20,10,20
95,ST2902,g,王者0至尊,1000326535,20,10,20
96,ST2857,g,淘洋洋灬,1000329155,20,10,20
97,ST2747,g,丨丶断尘,1000347108,20,10,20
98,ST2903,g,丿潇洒先生丨,1000352462,20,10,20
99,ST2701,g,暗之守护丨神月,1000359070,20,10,20
100,ST2676,g,搞死不丶搞残,1000367975,20,10,20
101,ST2723,g,丨半懂の不懂,1000377734,20,10,20
102,ST2702,g,海上神煞,1000387978,20,10,20
103,ST2721,g,丿战神丶法尊,1000392494,20,10,20
104,ST2829,g,卩s_yi生有你灬,1000401250,20,10,20
105,ST2830,g,LucKy丨丶小鸡,1000402448,20,10,20
106,ST2748,g,天道霸业,1000406331,20,10,20
107,ST2858,g,丿娶你丶不离,1000408980,20,10,20
108,ST2904,g,芯灬戚戚然,1000411058,20,10,20
109,ST2703,g,花季丨心为你守,1000416184,20,10,20
110,ST2722,g,迷醉_Somnus,1000419073,20,10,20
