帐号ID,帐号名,帐号密码,角色名称,角色ID,等级,"玩法模式0.个人,1.撮合",匹配分修改
int,string,string,string,int,int,int,int
1,ST1001,g,ST1001,102409,1,1,
2,ST1002,g,ST1002,102410,1,1,
3,ST1003,g,ST1003,102411,1,1,
4,ST1004,g,ST1004,102412,1,1,
5,ST1005,g,ST1005,102413,1,1,
6,ST1006,g,ST1006,102414,1,1,
7,ST1007,g,ST1007,102415,1,1,
8,ST1008,g,ST1008,102416,1,1,
9,ST1009,g,ST1009,102417,1,1,
10,ST1010,g,ST1010,102418,1,1,
11,ST1011,g,ST1011,102419,1,1,
12,ST1012,g,ST1012,102420,1,1,
13,ST1013,g,ST1013,102421,1,1,
14,ST1014,g,ST1014,102422,1,1,
15,ST1015,g,ST1015,102423,1,1,
16,ST1016,g,ST1016,102424,1,1,
17,ST1017,g,ST1017,102425,1,1,
18,ST1018,g,ST1018,102426,1,1,
19,ST1019,g,ST1019,102427,1,1,
20,ST1020,g,ST1020,102428,1,1,
21,ST1021,g,ST1021,102429,1,1,
22,ST1022,g,ST1022,102430,1,1,
23,ST1023,g,ST1023,102431,1,1,
24,ST1024,g,ST1024,102432,1,1,
25,ST1025,g,ST1025,102433,1,1,
26,ST1026,g,ST1026,102434,1,1,
27,ST1027,g,ST1027,102435,1,1,
28,ST1028,g,ST1028,102436,1,1,
29,ST1029,g,ST1029,102437,1,1,
30,ST1030,g,ST1030,102438,1,1,
31,ST1031,g,ST1031,102439,1,1,
32,ST1032,g,ST1032,102440,1,1,
33,ST1033,g,ST1033,102441,1,1,
34,ST1034,g,ST1034,102442,1,1,
35,ST1035,g,ST1035,102443,1,1,
36,ST1036,g,ST1036,102444,1,1,
37,ST1037,g,ST1037,102445,1,1,
38,ST1038,g,ST1038,102446,1,1,
39,ST1039,g,ST1039,102447,1,1,
40,ST1040,g,ST1040,102448,1,1,
41,ST1041,g,ST1041,102449,1,1,
42,ST1042,g,ST1042,102450,1,1,
43,ST1043,g,ST1043,102451,1,1,
44,ST1044,g,ST1044,102452,1,1,
45,ST1045,g,ST1045,102453,1,1,
46,ST1046,g,ST1046,102454,1,1,
47,ST1047,g,ST1047,102455,1,1,
48,ST1048,g,ST1048,102456,1,1,
49,ST1049,g,ST1049,102457,1,1,
50,ST1050,g,ST1050,102458,1,1,
51,ST1051,g,ST1051,102459,1,1,
52,ST1052,g,ST1052,102460,1,1,
53,ST1053,g,ST1053,102461,1,1,
54,ST1054,g,ST1054,102462,1,1,
55,ST1055,g,ST1055,102463,1,1,
56,ST1056,g,ST1056,102464,1,1,
57,ST1057,g,ST1057,102465,1,1,
58,ST1058,g,ST1058,102466,1,1,
59,ST1059,g,ST1059,102467,1,1,
60,ST1060,g,ST1060,102468,1,1,
61,ST1061,g,ST1061,102469,1,1,
62,ST1062,g,ST1062,102470,1,1,
63,ST1063,g,ST1063,102471,1,1,
64,ST1064,g,ST1064,102472,1,1,
65,ST1065,g,ST1065,102473,1,1,
66,ST1066,g,ST1066,102474,1,1,
67,ST1067,g,ST1067,102475,1,1,
68,ST1068,g,ST1068,102476,1,1,
69,ST1069,g,ST1069,102477,1,1,
70,ST1070,g,ST1070,102478,1,1,
71,ST1071,g,ST1071,102479,1,1,
72,ST1072,g,ST1072,102480,1,1,
73,ST1073,g,ST1073,102481,1,1,
74,ST1074,g,ST1074,102482,1,1,
75,ST1075,g,ST1075,102483,1,1,
76,ST1076,g,ST1076,102484,1,1,
77,ST1077,g,ST1077,102485,1,1,
78,ST1078,g,ST1078,102486,1,1,
79,ST1079,g,ST1079,102487,1,1,
80,ST1080,g,ST1080,102488,1,1,
81,ST1081,g,ST1081,102489,1,1,
82,ST1082,g,ST1082,102490,1,1,
83,ST1083,g,ST1083,102491,1,1,
84,ST1084,g,ST1084,102492,1,1,
85,ST1085,g,ST1085,102493,1,1,
86,ST1086,g,ST1086,102494,1,1,
87,ST1087,g,ST1087,102495,1,1,
88,ST1088,g,ST1088,102496,1,1,
89,ST1089,g,ST1089,102497,1,1,
90,ST1090,g,ST1090,102498,1,1,
91,ST1091,g,ST1091,102499,1,1,
92,ST1092,g,ST1092,102500,1,1,
93,ST1093,g,ST1093,102501,1,1,
94,ST1094,g,ST1094,102502,1,1,
95,ST1095,g,ST1095,102503,1,1,
96,ST1096,g,ST1096,102504,1,1,
97,ST1097,g,ST1097,102505,1,1,
98,ST1098,g,ST1098,102506,1,1,
99,ST1099,g,ST1099,102507,1,1,
100,ST1100,g,ST1100,102508,1,1,
101,ST1101,g,ST1101,102509,1,1,
102,ST1102,g,ST1102,102510,1,1,
103,ST1103,g,ST1103,102511,1,1,
104,ST1104,g,ST1104,102512,1,1,
105,ST1105,g,ST1105,102513,1,1,
106,ST1106,g,ST1106,102514,1,1,
107,ST1107,g,ST1107,102515,1,1,
108,ST1108,g,ST1108,102516,1,1,
109,ST1109,g,ST1109,102517,1,1,
110,ST1110,g,ST1110,102518,1,1,
111,ST1111,g,ST1111,102519,1,1,
112,ST1112,g,ST1112,102520,1,1,
113,ST1113,g,ST1113,102521,1,1,
114,ST1114,g,ST1114,102522,1,1,
115,ST1115,g,ST1115,102523,1,1,
116,ST1116,g,ST1116,102524,1,1,
117,ST1117,g,ST1117,102525,1,1,
118,ST1118,g,ST1118,102526,1,1,
119,ST1119,g,ST1119,102527,1,1,
120,ST1120,g,ST1120,102528,1,1,
121,ST1121,g,ST1121,102529,1,1,
122,ST1122,g,ST1122,102530,1,1,
123,ST1123,g,ST1123,102531,1,1,
124,ST1124,g,ST1124,102532,1,1,
125,ST1125,g,ST1125,102533,1,1,
126,ST1126,g,ST1126,102534,1,1,
127,ST1127,g,ST1127,102535,1,1,
128,ST1128,g,ST1128,102536,1,1,
129,ST1129,g,ST1129,102537,1,1,
130,ST1130,g,ST1130,102538,1,1,
131,ST1131,g,ST1131,102539,1,1,
132,ST1132,g,ST1132,102540,1,1,
133,ST1133,g,ST1133,102541,1,1,
134,ST1134,g,ST1134,102542,1,1,
135,ST1135,g,ST1135,102543,1,1,
136,ST1136,g,ST1136,102544,1,1,
137,ST1137,g,ST1137,102545,1,1,
138,ST1138,g,ST1138,102546,1,1,
139,ST1139,g,ST1139,102547,1,1,
140,ST1140,g,ST1140,102548,1,1,
141,ST1141,g,ST1141,102549,1,1,
142,ST1142,g,ST1142,102550,1,1,
143,ST1143,g,ST1143,102551,1,1,
144,ST1144,g,ST1144,102552,1,1,
145,ST1145,g,ST1145,102553,1,1,
146,ST1146,g,ST1146,102554,1,1,
147,ST1147,g,ST1147,102555,1,1,
148,ST1148,g,ST1148,102556,1,1,
149,ST1149,g,ST1149,102557,1,1,
150,ST1150,g,ST1150,102558,1,1,
151,ST1151,g,ST1151,102559,1,1,
152,ST1152,g,ST1152,102560,1,1,
153,ST1153,g,ST1153,102561,1,1,
154,ST1154,g,ST1154,102562,1,1,
155,ST1155,g,ST1155,102563,1,1,
156,ST1156,g,ST1156,102564,1,1,
157,ST1157,g,ST1157,102565,1,1,
158,ST1158,g,ST1158,102566,1,1,
159,ST1159,g,ST1159,102567,1,1,
160,ST1160,g,ST1160,102568,1,1,
161,ST1161,g,ST1161,102569,1,1,
162,ST1162,g,ST1162,102570,1,1,
163,ST1163,g,ST1163,102571,1,1,
164,ST1164,g,ST1164,102572,1,1,
165,ST1165,g,ST1165,102573,1,1,
166,ST1166,g,ST1166,102574,1,1,
167,ST1167,g,ST1167,102575,1,1,
168,ST1168,g,ST1168,102576,1,1,
169,ST1169,g,ST1169,102577,1,1,
170,ST1170,g,ST1170,102578,1,1,
171,ST1171,g,ST1171,102579,1,1,
172,ST1172,g,ST1172,102580,1,1,
173,ST1173,g,ST1173,102581,1,1,
174,ST1174,g,ST1174,102582,1,1,
175,ST1175,g,ST1175,102583,1,1,
176,ST1176,g,ST1176,102584,1,1,
177,ST1177,g,ST1177,102585,1,1,
178,ST1178,g,ST1178,102586,1,1,
179,ST1179,g,ST1179,102587,1,1,
180,ST1180,g,ST1180,102588,1,1,
181,ST1181,g,ST1181,102589,1,1,
182,ST1182,g,ST1182,102590,1,1,
183,ST1183,g,ST1183,102591,1,1,
184,ST1184,g,ST1184,102592,1,1,
185,ST1185,g,ST1185,102593,1,1,
186,ST1186,g,ST1186,102594,1,1,
187,ST1187,g,ST1187,102595,1,1,
188,ST1188,g,ST1188,102596,1,1,
189,ST1189,g,ST1189,102597,1,1,
190,ST1190,g,ST1190,102598,1,1,
191,ST1191,g,ST1191,102599,1,1,
192,ST1192,g,ST1192,102600,1,1,
193,ST1193,g,ST1193,102601,1,1,
194,ST1194,g,ST1194,102602,1,1,
195,ST1195,g,ST1195,102603,1,1,
196,ST1196,g,ST1196,102604,1,1,
197,ST1197,g,ST1197,102605,1,1,
198,ST1198,g,ST1198,102606,1,1,
199,ST1199,g,ST1199,102607,1,1,
200,ST1200,g,ST1200,102608,1,1,
201,ST1201,g,ST1201,102609,1,1,
202,ST1202,g,ST1202,102610,1,1,
203,ST1203,g,ST1203,102611,1,1,
204,ST1204,g,ST1204,102612,1,1,
205,ST1205,g,ST1205,102613,1,1,
206,ST1206,g,ST1206,102614,1,1,
207,ST1207,g,ST1207,102615,1,1,
208,ST1208,g,ST1208,102616,1,1,
209,ST1209,g,ST1209,102617,1,1,
210,ST1210,g,ST1210,102618,1,1,
211,ST1211,g,ST1211,102619,1,1,
212,ST1212,g,ST1212,102620,1,1,
213,ST1213,g,ST1213,102621,1,1,
214,ST1214,g,ST1214,102622,1,1,
215,ST1215,g,ST1215,102623,1,1,
216,ST1216,g,ST1216,102624,1,1,
217,ST1217,g,ST1217,102625,1,1,
218,ST1218,g,ST1218,102626,1,1,
219,ST1219,g,ST1219,102627,1,1,
220,ST1220,g,ST1220,102628,1,1,
221,ST1221,g,ST1221,102629,1,1,
222,ST1222,g,ST1222,102630,1,1,
223,ST1223,g,ST1223,102631,1,1,
224,ST1224,g,ST1224,102632,1,1,
225,ST1225,g,ST1225,102633,1,1,
226,ST1226,g,ST1226,102634,1,1,
227,ST1227,g,ST1227,102635,1,1,
228,ST1228,g,ST1228,102636,1,1,
229,ST1229,g,ST1229,102637,1,1,
230,ST1230,g,ST1230,102638,1,1,
231,ST1231,g,ST1231,102639,1,1,
232,ST1232,g,ST1232,102640,1,1,
233,ST1233,g,ST1233,102641,1,1,
234,ST1234,g,ST1234,102642,1,1,
235,ST1235,g,ST1235,102643,1,1,
236,ST1236,g,ST1236,102644,1,1,
237,ST1237,g,ST1237,102645,1,1,
238,ST1238,g,ST1238,102646,1,1,
